t,ke_weno5,ke_test,ke_reward,disper_weno5,disper_test,disper_imp
0.052,302448.14791156654,302695.48436257703,0.0008177813377876486,-13.892613460148581,-23.23181665868198,0.6722423556462727
0.054,309665.90479221864,309897.11494027387,0.0007466438651371199,-14.452255678966656,-22.764519013358914,0.5751533545375658
0.056,316816.1785401923,317117.28962172987,0.0009504283617238762,-14.152959390472176,-21.859627189758406,0.5445269492170228
0.058,324167.9709523985,324342.3723560009,0.0005379970238577059,-13.601044986674415,-21.490038507385485,0.5800284851965631
0.06,331445.70688368205,331691.3125070098,0.0007410131379794738,-14.131348455881456,-22.884240265878123,0.6193953703231854
0.062,338728.2120906009,339080.43674134865,0.0010398444480719249,-14.721219531721278,-23.174262006850054,0.5742080305856565
0.064,346120.3202257302,346385.96837451134,0.000767502320025315,-14.61496072470112,-22.53344139781007,0.5418064969360965
0.066,353497.15595879767,353766.1339524238,0.0007609056794151137,-14.245138813835394,-22.725393987186088,0.5953087073545653
0.068,360928.15612292086,361212.2287410563,0.0007870613952287719,-14.236627365375751,-22.915900192837743,0.6096438857822783
0.07,368430.0696854743,368663.3761058806,0.000633244785382292,-14.458441620548072,-23.45315848879478,0.6221083228958495
0.072,375912.84075068054,376219.6689595458,0.000816221675887796,-14.799170424981877,-25.14944614412046,0.6993821560204958
0.074,383453.9153915801,383780.45514567255,0.0008515749637318937,-14.66875121121024,-26.08563962767262,0.7783135900305744
0.076,390984.32265906816,391326.5843909763,0.000875384796966916,-15.033226253722134,-25.935079190401833,0.7251838529324648
0.078,398575.22052879655,398896.8464991816,0.0008069392019862676,-15.436459104665998,-27.363818985223688,0.7726746010652399
0.08,406130.4861883688,406498.3134959419,0.0009056875070503345,-15.627835887325633,-28.0569922218395,0.7953216570820318
0.082,413775.13138705073,414123.60226403025,0.0008421745304301176,-14.71334997077932,-26.913462138171113,0.8291865680909642
0.084,421503.2774223753,421874.5824466364,0.0008809066124746412,-14.721184374668463,-28.850413232404968,0.9597888660405227
0.086,429191.7304386933,429582.51407147665,0.0009105106297921939,-15.035174895230796,-29.40030376808482,0.9554347703271939
0.088,436909.4316357495,437330.61877590773,0.000964014758347842,-15.425595001760584,-30.104053470248605,0.9515651400683547
0.09,444744.6806410344,445132.59641144844,0.0008722212705387644,-15.726668873203309,-30.445976335607536,0.9359456589999471
0.092,452508.89837299904,452981.7496733096,0.001044954700362144,-16.16368003116774,-32.65215102184561,1.0200938745931527
0.094,460382.25381470437,460776.1043811399,0.0008554859862042186,-15.451728309860531,-32.33829079260357,1.092859138091813
0.096,468253.26114948664,468705.5137062728,0.0009658289526397468,-15.783300468955787,-32.44248003744625,1.0554940394917685
0.098,476144.9980081344,476572.5878588133,0.0008980244515170988,-16.266457880751087,-34.70691521570296,1.133649222844845
0.1,484072.94110359065,484553.9141950693,0.0009935963170799589,-16.300700495955276,-33.14814818951456,1.0335413314133137
0.102,492037.4016403445,492529.4504620516,0.0010000232097533424,-16.67714752052597,-33.34918411337995,0.9996935370592781
0.104,500051.5266491816,500513.10846720386,0.0009230685107899372,-16.30021060444354,-33.559050450409806,1.0588108500427227
0.106,508111.8577800808,508626.2423904585,0.0010123452198596006,-15.612414208048211,-35.05700676161621,1.2454571275430482
0.108,516199.33464331075,516656.85099094565,0.0008863171975048711,-15.77525954044977,-36.75942170323007,1.3301944167051096
0.11,524309.9019566542,524790.4767463884,0.000916585378114565,-16.935890390693785,-38.552603827517785,1.2763848217098945
0.112,532442.060246484,532928.7889081071,0.0009141439002728902,-17.473846650275174,-36.96884292260712,1.1156671259916853
0.114,540599.5898851638,541159.4814944386,0.0010356863374494374,-17.7919572505512,-36.47663357449637,1.0501754281905278
0.116,548774.1790710366,549304.1884733319,0.0009658060136730207,-17.1470174631002,-35.58327336989398,1.075187329019054
0.118,556964.7702643356,557578.3460623092,0.00110164202608809,-15.855083771167564,-36.6926928692982,1.314254115517433
0.12,565273.1396020743,565785.8197531159,0.0009069600430731128,-16.252515568027942,-38.443757249870295,1.365403502550529
0.122,573497.7424794561,574146.2592369884,0.0011308096082967012,-17.86709683055972,-39.37663147546198,1.203862879844729
0.124,581850.5934504482,582445.5791842267,0.001022574764855122,-18.456588940635655,-40.53082589586472,1.1960084838118967
0.126,590225.5059196545,590774.8451063104,0.0009307276306198542,-18.272945121474862,-38.46715292121932,1.1051424751454912
0.128,598522.0992981099,599119.0924308194,0.0009974454300176738,-17.502365771954576,-38.235065079352964,1.1845655368841639
0.13,606958.1226808926,607570.2253865747,0.0010084760098085788,-16.72148010859248,-38.20711753438774,1.2849124172180595
0.132,615423.3373397328,616031.4029114963,0.0009880443832241959,-17.324545485854923,-39.6521176414049,1.2887825642398472
0.134,623909.382176612,624518.7437242771,0.0009766827764943198,-18.485511428328675,-41.05097835040279,1.2207109881468026
0.136,632315.2353932697,633016.3521936688,0.001108808962926755,-19.257061406006812,-42.485724964999015,1.2062413402154153
0.138,640855.3017223212,641529.879678427,0.0010526213238664095,-19.235455681250464,-40.70237231123996,1.1160076987889673
0.14,649421.4911177395,650069.7298341737,0.0009981787256816421,-18.567302175985667,-39.20583689555248,1.1115526921439352
0.142,658009.6200662889,658672.8649702047,0.0010079562421123622,-17.164893097473005,-40.67194439032038,1.3694842816299304
0.144,666728.6571826469,667321.936188677,0.0008898357669775425,-18.017939812203068,-40.74428201028679,1.2613174666446483
0.146,675366.2219674112,675916.5572056259,0.0008148693557867848,-19.550065715162383,-42.6101510930485,1.1795400442056563
0.148,684029.5140905594,684655.5405481149,0.0009152038686339736,-20.145808817917892,-44.14702357355098,1.1913750881168972
0.15,692716.5152336371,693428.3588788987,0.00102761177134858,-19.920068341527482,-40.982397426307315,1.0573422100601468
0.152,701541.9230650514,702131.2551477761,0.0008400525518843516,-18.890810953878685,-39.079342120484576,1.0686958445508532
0.154,710295.4410417256,710991.2284805402,0.0009795746933054517,-17.909820830325458,-41.37564589523605,1.3102210952985938
0.156,719086.3107080364,719785.131980919,0.0009718183512554823,-19.60754225140179,-43.484810342477545,1.217759359379614
0.158,728019.2184606107,728615.4198391865,0.0008189363185169274,-20.86282422808064,-43.2572151620259,1.0734112835884981
0.16,736869.9796251615,737596.9477075019,0.00098656221917226,-20.931103177603408,-46.32936700380753,1.2134221312033207
0.162,745860.0711948241,746494.0384234793,0.0008499814551536922,-20.16626450289042,-43.13539239054129,1.1389877329219162
0.164,754764.5401835446,755415.0824943697,0.0008619142476764541,-18.86148972943559,-43.28493414887922,1.2948841671465616
0.166,763696.8389424435,764482.066584877,0.0010281928671078688,-18.989106336796063,-42.0893252469436,1.2164984755172594
0.168,772771.6885710888,773484.2967954844,0.0009221458743049471,-20.389768466065696,-44.25780510908855,1.170588900150876
0.17,781765.7697867993,782527.6847077096,0.0009746076770771328,-21.505956527226488,-45.63925337081607,1.1221680287987605
0.172,790898.6179958528,791601.3081246438,0.0008884705483132027,-21.411561455754217,-48.33683514259571,1.25751098267546
0.174,799940.6154707031,800687.8810072298,0.0009341512633247451,-20.795314065918177,-46.2728521424131,1.225157648292051
0.176,809119.6614581593,809798.3049782421,0.0008387430838843191,-20.00466899626768,-45.19664026846837,1.2593045791910291
0.178,818319.480506559,818937.3679815795,0.0007550687594997108,-19.75286862017923,-43.815529436441956,1.218185635664112
0.18,827543.4606770352,828229.6494689877,0.0008291876192112468,-21.03060005546338,-48.08711861772886,1.2865309829919318
0.182,836679.254481427,837445.4622337637,0.0009157723801955786,-22.164658059759518,-49.07280278545382,1.2140112720505578
0.184,845954.9226180925,846700.6783763941,0.0008815549603915507,-22.157079853830624,-48.05895865228708,1.1690113936191109
0.186,855257.2567219667,856084.8077549881,0.0009676048072286836,-21.944443821338023,-46.77986524476718,1.1317407552284395
0.188,864584.0374063365,865367.1650906517,0.0009057854996543657,-20.92325540532037,-45.325117385545916,1.1662555136625938
0.19,873938.0869042845,874786.3943655881,0.000970672263876704,-20.675331236160734,-48.108765410576765,1.3268679404001769
0.192,883439.1630023785,884118.757990545,0.0007692606538483027,-21.753136146092217,-49.81690008884391,1.2901019767576423
0.194,892854.524946772,893583.2650561149,0.0008161913155855238,-23.315810032738423,-50.99412054511311,1.1871048217287217
0.196,902296.769640479,903068.4587504653,0.0008552497758511635,-23.147417650240797,-51.356704532174454,1.218679651794342
0.198,911769.107281879,912576.7314745774,0.0008857770966885781,-22.2908507058295,-50.18142810023899,1.251211887894236
0.2,921233.2602490503,922091.3725355931,0.0009314820942427637,-21.773285628754273,-48.47339389807052,1.2262783267792852
