,t,ke_weno5,ke_test,ke_reward,disper_weno5,disper_test,disper_imp
39,0.4,1906.8572392753454,1919.0373354029293,0.0063875238673938295,0.00036370378456660336,0.0019325296504707442,4.313471381040439
40,0.41,1904.8075106435567,1917.4951353458114,0.006660843487522827,0.0004034371711030128,0.0021231237230928193,4.262588266936626
41,0.42,1902.6863119567718,1915.8733854640684,0.0069307659515007725,0.0004372921713017469,0.002296534462449402,4.251716388182748
42,0.43,1900.4733699417243,1914.208857282034,0.007227403213090344,0.000498546518588103,0.0026059955007358276,4.227186237537223
43,0.44,1898.1817068311327,1912.527402516065,0.007557598744791116,0.0005597257974418238,0.002944970180058422,4.26145157775136
44,0.45,1895.9429800880625,1911.0160177027346,0.00795015344500083,0.0005275494105714809,0.0031934795734223833,5.053422692602325
45,0.46,1893.7911256743937,1909.7344507372582,0.008418734699259467,0.0005822002135069795,0.0035716338752016497,5.1347175633744975
46,0.47,1891.6523064068788,1908.5382266370116,0.008926545419018828,0.0005979008293611986,0.0038895153405235964,5.5052850732439715
47,0.48,1889.4452147307572,1907.2903539895692,0.009444644978158223,0.0006156231597360408,0.004262696809557643,5.924198256909874
48,0.49,1887.0924547256068,1905.8804109720909,0.009956033791262309,0.0006837861722188761,0.004613599575801251,5.747137867427456
49,0.5,1884.7004192210334,1904.433696123197,0.01047024593453405,0.0007436479726826978,0.0050828148980998685,5.834974456749606
50,0.51,1882.4032466875276,1903.0987978910516,0.010994217758571123,0.000803753364168692,0.005394453697069559,5.711578374106026
51,0.52,1880.2355530623868,1901.8749368320352,0.011508868521501903,0.000768231709853632,0.005461385135347143,6.1090337268005745
52,0.53,1878.094571806962,1900.6979182505484,0.012035254658043781,0.000870174710260985,0.005713170577258261,5.565544263570648
53,0.54,1875.841789249816,1899.4101714844892,0.012564163123852001,0.0008024087621675591,0.005795490689745954,6.222616405746251
54,0.55,1873.4683722445473,1898.0040283679377,0.013096381282377889,0.0007540478638693431,0.006233948090764869,7.267310855806695
55,0.56,1871.1068963200032,1896.471838954903,0.01355611626721398,0.0008410160317835378,0.006560623349511921,6.80083030712131
56,0.57,1868.8853784799796,1895.0776822152668,0.014014933198626789,0.0008338442583635194,0.006425206397829194,6.705523343698658
57,0.58,1866.921710883957,1893.9053877042516,0.014453566350952185,0.0008878823606814565,0.007017147369691203,6.903239979117829
58,0.59,1865.0495446984633,1892.7897480501756,0.014873708546009334,0.0009226682448699103,0.006953551501314659,6.536350730586875
59,0.6,1863.0747115754139,1891.5051274391437,0.015259944052210983,0.0008957473697770408,0.007036666474825497,6.8556373283875605
60,0.61,1860.998829419529,1890.1095302445651,0.015642514312658617,0.000859225341173801,0.007558317455611935,7.796664964846592
61,0.62,1858.9307907293064,1888.6746724293878,0.01600053205230534,0.0007929845703993031,0.007739274303695785,8.759678299665673
62,0.63,1857.0535707022027,1887.4663927397526,0.016376922301735153,0.000819014384611747,0.007433079149710524,8.075639316437853
63,0.64,1855.4178439288648,1886.5023711303274,0.016753383774536168,0.0009152077166510572,0.007787749091669555,7.5092694805574975
64,0.65,1853.8399783577481,1885.6000226298281,0.01713203115849038,0.0009324695872695701,0.007692388309644806,7.2494790335944685
65,0.66,1852.16318501498,1884.6332630136922,0.01753089482687753,0.0008982096797718688,0.007913488960638038,7.8102913371496285
66,0.67,1850.3131417062395,1883.4905930294785,0.01793072241417737,0.0009478002390254027,0.0077940824965262254,7.223338817197039
67,0.68,1848.370028113121,1882.281723458375,0.0183468108817324,0.001007695955320668,0.008321429710109721,7.257877454178811
68,0.69,1846.6134321845218,1881.3439513177357,0.018807682500244782,0.0011225270158600697,0.00815459020279722,6.264493493325191
69,0.7,1845.1276869311441,1880.668591480805,0.01926202983207803,0.0011679734921360195,0.008144622698596442,5.973294131617105
70,0.71,1843.7576818615148,1880.04976514494,0.01968375976976744,0.0011427058959227574,0.00822192423760027,6.1951359198693075
